ID_CROPS_FR,ICC1.1
BTH,1.01
BTP,1.01
MID,1.02
MIE,1.02
MIS,1.02
ORH,1.05
ORP,1.05
AVH,1.07
AVP,1.07
BDH,1.01
BDP,1.01
BDT,1.01
CAG,1.90
CGF,1.10
CGH,1.13
CGO,1.04
CGP,1.08
CGS,1.08
CHA,1.07
CHH,1.05
CHS,1.06
CHT,1.09
CPA,1.07
CPH,1.05
CPS,1.06
CPT,1.09
CPZ,1.02
EPE,1.01
MCR,1.14
MLT,1.08
SGH,1.06
SGP,1.06
SOG,1.04
SRS,1.10
TTH,1.09
TTP,1.09
CZH,4.03.05
CZP,4.03.05
TRN,4.03.08
ARA,4.02
LIH,4.03.02
LIP,4.03.02
MOL,4.03.90
NVE,4.03.05 4.03.90
NVH,4.03.05 4.03.90
OAG,4.03.90
OEH,4.03.08 4.03.90
OEI,4.03.12
OHN,4.03.05
OHR,4.03.05 4.03.90
OPN,4.03.05
OPR,4.03.05 4.03.90
SOJ,4.01
FEV,7.02
FVL,7.02
FVT,7.02
LDH,7.06
LDP,7.06
LDT,7.06
MPC,7.90 7
MPP,7.90 7
MPT,7.90 7
PAG,7.90
PHI,7.07
PPR,7.07
PPT,7.07
CHV,9.02.01.05
CSE,9.02.01.05
LIF,9.02.01.04
J5M,9.01
J6P,9.01
J6S,9.01
JNO,9.01
RIZ,1.03
LEC,7.05
PCH,7.03
BVF,8.01
CAF,2.03.01
CHF,2.01.03
CPL,
DTY,9.01.01
FAG,
FET,9.01.01
FF5,7.02
FF6,7.02
FF7,7.02
FF8,7.02
FFO,7.02
FLO,9.01.01
FSG,2.01 2.03
GAI,9.01.01
GES,7.10� 7.90
GFP,9.01.01
JO5,7.10� 7.90
JO6,7.10� 7.90
JO7,7.10� 7.90
JO8,7.10� 7.90
JOD,7.10� 7.90
JOS,7.10� 7.90
LEF,7.05
LFH,7.06
LFP,7.06
LH5,7.06
LH6,7.06
LH7,7.06
LH8,7.06
LO7,9.01.01
LO8,9.01.01
LOT,9.01.01
LP5,7.06
LP6,7.06
LP7,7.06
LP8,7.06
LU5,9.01.01
LU6,9.01.01
LU7,9.01.01
LU8,9.01.01
LUD,9.01.01
LUZ,9.01.01
MC5,7.90
MC6,7.90
MC7,7.90
MC8,7.90
ME5,9.01.01
ME6,9.01.01
ME7,9.01.01
ME8,9.01.01
MED,9.01.01
MEL,9.01.01
MH5,7.90
MH6,7.90
MH7,7.90
MI7,9.01.01
MI8,9.01.01
MIN,9.01.01
ML5,7.90
ML6,7.90
ML7,7.90
ML8,7.90
MLC,7.90
MLD,7.90
MLF,7.90
MLG,7.90
MOH,1.08
NVF,2.03.02
PAT,9.01.01
PFH,7.07
PFP,7.07
PH5,7.07
PH6,7.07
PH7,7.07
PH8,7.07
PP5,7.07
PP6,7.07
PP7,7.07
PP8,7.07
RDF,2.03.90
SA5,9.01.01
SA6,9.01.01
SA7,9.01.01
SA8,9.01.01
SAD,9.01.01
SAI,9.01.01
SE5,9.01.01
SE6,9.01.01
SE7,9.01.01
SE8,9.01.01
SED,9.01.01
SER,9.01.01
TR5,9.01.01
TR6,9.01.01
TR7,9.01.01
TR8,9.01.01
TRD,9.01.01
TRE,9.01.01
VE5,7.10
VE6,7.10
VE7,7.10
VE8,7.10
VED,7.10
VES,7.10
XFE,#indef
BOP,#indef
SPH,9.01.01
SPL,9.01.01
PPH,9.01.01
PRL,9.01.01
PTR,9.01.01
RGA,9.01.01
AGR,3.02
ANA,3.01.08
AVO,3.01.01
BCA,3.01.02
BCF,3.01.02
BCI,3.01.02
BCP,3.01.02
BCR,3.01.02
BEA,3.01.02
BEF,3.01.02
BEI,3.01.02
BEP,3.01.02
BER,3.01.02
CAC,6.01
CBT,3.05.03
PFR,3.04
PRU,3.05.08
PVT,3.05.05
PWT,3.05.06
VGD,3.01
VRG,3.90
RVI,3.03
VRC,3.03
VRN,3.03
VRT,3.03
CAB,3.06.90
CTG,3.06.03
NOS,3.06.04
NOX,3.06.06
PIS,3.06.05
OLI,4.04.02
ANE,6.02.02.90
ANG,6.02.02.90
ANI,6.02.01.02
BAR,9.03.01.90
BAS,9.03.01.02
BRH,#indef
BTN,8.01
CAV,6.02.02.90
CHR,9.03.01.90
CIB,
CML,4.03.90
CMM,9.03.01.90
CRD,6.02.01.90
CRF,6.02.01.90
CUM,6.02.01.90
CUR,6.02.02.90
EST,6.02.02.90
FNO,6.02.01.02
FNU,7.90
HBL,6.02.02.07
LAV,9.03.01
MAV,#indef
MLI,6.02.02.90
MLP,9.03.01.90
MOT,4.03.03
MRJ,6.02.02.90
MTH,9.03.01.01
ORT,9.03.01.90
OSE,#indef
PAR,6.02
PMD,9.03.01.90
PPA,#indef
PPF,9.05
PPP,#indef
PSL,6.02.01.90
PSN,9.03.01
PSY,9.03.01
ROM,6.02.02.90
SGE,6.02.01.90
SRI,9.03.01
TAB,9.06
THY,6.02.02.90
TOT,2.02.03
VAL,9.03.01
VNB,6.02.02.06
VNL,6.02.02.06
VNV,6.02.02.06
YLA,9.90.02
AIL,2.03.03
ART,2.01.01
AUB,2.02.02
BLT,9.05.01
BUR,9.05.01
CAR,2.03.01
CCN,2.02.01
CCT,2.02.04
CEL,2.01.90
CES,2.01.07
CHU,2.01.03
CMB,2.02.04
CRA,2.01.90
CRN,7.04
CRS,2.01.90
CSS,#indef
DOL,7.04
EPI,2.01.06
FLA,#indef
FLP,#indef
FRA,3.04.05
GER,9.05.01
HAR,7.90
HPC,9.05.01
HSA,9.05.01
LBF,2.01.05
LSA,#indef
MAC,2.01.90
MLO,2.05.02
MRG,9.05.01
NVT,2.03.02
OIG,2.03.04
PAN,2.03.90
PAQ,9.05.01
PAS,2.05.01
PMV,9.05.01
POR,2.03.05
POT,2.02.04
PPO,7.07
PSE,9.05.01
PTC,5.01
PTF,5.01
PVP,6.02.1.01
RDI,2.03.90
ROQ,2.01.90
RUT,2.03.90
SFI,2.03.90
TOM,2.02.03
TOP,5.90
VER,9.05.01
CSA,8.02
CSF,8.02
CSI,8.02
CSP,8.02
CSR,8.02
ACA,#indef
BFP,#exclude
BFS,#exclude
BOR,#exclude
BRO,9.01.02
BTA,#exclude
CAE,3.06.03
CEE,3.06.90
CNE,3.06.90
CID,#exclude
CIT,#exclude
CUA,#exclude
MCT,9.01.01
MPA,#exclude
MRS,#exclude
NYG,4.03.04
PCL,9.03.02.90
PEP,#exclude
ROS,9.90.02
SBO,#exclude
SNA,#exclude
SNE,#exclude
TBT,5�?
TCR,#exclude
TRU,2.04
VET,9.90.02
ZZZ,#exclude
MLS,#exclude
