"TYPE (1=TEMPORARY, 2 = PERMANENT) ",ID_GROUP,GROUP,ID_CROPS,CROPS,ID_SUBCROPS,SUBCROPS,ID_SUBSUBCROPS,SUBSUBCROPS
1,1,Cereals,11,Wheat,,,,
1,1,Cereals,12,Maize,,,,
1,1,Cereals,13,Rice,,,,
1,1,Cereals,14,Sorghum,,,,
1,1,Cereals,15,Barley,,,,
1,1,Cereals,16,Rye,,,,
1,1,Cereals,17,Oats,,,,
1,1,Cereals,18,Millets,,,,
1,1,Cereals,19,"Other cereals, n.e.c",191,Mixed cereals,,
1,1,Cereals,19,"Other cereals, n.e.c",192,Other,,
1,2,Vegetables and melons,21,Leafy or stem vegetables,211,Artichokes,,
1,2,Vegetables and melons,21,Leafy or stem vegetables,212,Asparagus,,
1,2,Vegetables and melons,21,Leafy or stem vegetables,213,Cabbages,,
1,2,Vegetables and melons,21,Leafy or stem vegetables,214,Cauliflowers & broccoli,,
1,2,Vegetables and melons,21,Leafy or stem vegetables,215,Lettuce,,
1,2,Vegetables and melons,21,Leafy or stem vegetables,216,Spinach,,
1,2,Vegetables and melons,21,Leafy or stem vegetables,217,Chicory,,
1,2,Vegetables and melons,21,Leafy or stem vegetables,219,"Other leafy or stem vegetables, n.e.c.",,
1,2,Vegetables and melons,21,Fruit-bearing vegetables,221,Cucumbers,,
1,2,Vegetables and melons,22,Fruit-bearing vegetables,222,Eggplants (aubergines),,
1,2,Vegetables and melons,22,Fruit-bearing vegetables,223,Tomatoes,,
1,2,Vegetables and melons,22,Fruit-bearing vegetables,224,Watermelons,,
1,2,Vegetables and melons,22,Fruit-bearing vegetables,225,Cantaloupes and other melons,,
1,2,Vegetables and melons,22,Fruit-bearing vegetables,226,"Pumpkin, squash and gourds",,
1,2,Vegetables and melons,22,Fruit-bearing vegetables,229,"Other fruit-bearing vegetables, n.e.c.",,
1,2,Vegetables and melons,23,"Root, bulb, or tuberous vegetables",231,Carrots,,
1,2,Vegetables and melons,23,"Root, bulb, or tuberous vegetables",232,Turnips,,
1,2,Vegetables and melons,23,"Root, bulb, or tuberous vegetables",233,Garlic,,
1,2,Vegetables and melons,23,"Root, bulb, or tuberous vegetables",234,Onions (incl. shallots),,
,2,Vegetables and melons,23,"Root, bulb, or tuberous vegetables",235,Leeks & other alliaceous vegetables,,
1,2,Vegetables and melons,23,"Root, bulb, or tuberous vegetables",239,"Other root, bulb, or tuberous vegetables, n.e.c.",,
1,2,Vegetables and melons,24,Mushrooms and truffles,,,,
1,2,Vegetables and melons,29,"Vegetables, n.e.c",,,,
2,3,Fruit and nuts,31,Tropical and subtropical fruits,311,Avocados,,
2,3,Fruit and nuts,31,Tropical and subtropical fruits,312,Bananas & plantains,,
2,3,Fruit and nuts,31,Tropical and subtropical fruits,313,Dates,,
2,3,Fruit and nuts,31,Tropical and subtropical fruits,314,Figs,,
2,3,Fruit and nuts,31,Tropical and subtropical fruits,315,Mangoes,,
2,3,Fruit and nuts,31,Tropical and subtropical fruits,316,Papayas,,
2,3,Fruit and nuts,31,Tropical and subtropical fruits,317,Pineapples,,
2,3,Fruit and nuts,31,Tropical and subtropical fruits,319,"Other tropical and subtropical fruits, n.e.c.",,
2,3,Fruit and nuts,32,Citrus fruits,321,Grapefruit & pomelo,,
2,3,Fruit and nuts,32,Citrus fruits,322,Lemons and Limes,,
2,3,Fruit and nuts,32,Citrus fruits,323,Oranges,,
2,3,Fruit and nuts,32,Citrus fruits,324,"Tangerines, mandarins, clementines",,
2,3,Fruit and nuts,32,Citrus fruits,329,"Other citrus fruit, n.e.c.",,
2,3,Fruit and nuts,33,Grapes,,,,
2,3,Fruit and nuts,34,Berries,341,Currants,,
2,3,Fruit and nuts,34,Berries,342,Gooseberries,,
2,3,Fruit and nuts,34,Berries,343,Kiwi fruit,,
2,3,Fruit and nuts,34,Berries,344,Raspberries,,
2,3,Fruit and nuts,34,Berries,345,Strawberries,,
,3,Fruit and nuts,34,Berries,346,Blueberries,,
2,3,Fruit and nuts,34,Berries,349,Other berries,,
2,3,Fruit and nuts,35,Pome fruits and stone fruits,351,Apples,,
2,3,Fruit and nuts,35,Pome fruits and stone fruits,352,Apricots,,
2,3,Fruit and nuts,35,Pome fruits and stone fruits,353,Cherries & sour cherries,,
2,3,Fruit and nuts,35,Pome fruits and stone fruits,354,Peaches & nectarines,,
2,3,Fruit and nuts,35,Pome fruits and stone fruits,355,Pears & quinces,,
2,3,Fruit and nuts,35,Pome fruits and stone fruits,356,Plums and sloes,,
2,3,Fruit and nuts,35,Pome fruits and stone fruits,359,"Other pome fruits and stone fruits, n.e.c.",,
2,3,Fruit and nuts,36,Nuts,361,Almonds,,
2,3,Fruit and nuts,36,Nuts,362,Cashew nuts,,
2,3,Fruit and nuts,36,Nuts,363,Chestnuts,,
2,3,Fruit and nuts,36,Nuts,364,Hazelnuts,,
2,3,Fruit and nuts,36,Nuts,365,Pistachios,,
2,3,Fruit and nuts,36,Nuts,366,Walnuts,,
2,3,Fruit and nuts,36,Nuts,369,Other nuts n.e.c.,,
2,3,Fruit and nuts,39,"Other fruits, n.e.c",,,,
1,4,Oilseed crops,41,Soya beans,,,,
1,4,Oilseed crops,42,Groundnuts,,,,
1,4,Oilseed crops,43,Other temporary oilseed crops,431,Castor bean,,
1,4,Oilseed crops,43,Other temporary oilseed crops,432,Linseed,,
1,4,Oilseed crops,43,Other temporary oilseed crops,433,Mustard,,
1,4,Oilseed crops,43,Other temporary oilseed crops,434,Niger seed,,
1,4,Oilseed crops,43,Other temporary oilseed crops,435,Rapeseed,,
1,4,Oilseed crops,43,Other temporary oilseed crops,436,Safflower,,
1,4,Oilseed crops,43,Other temporary oilseed crops,437,Sesame,,
1,4,Oilseed crops,43,Other temporary oilseed crops,438,Sunflower,,
1,4,Oilseed crops,43,Other temporary oilseed crops,439,"Other temporary oilseed crops, n.e.c.",,
2,4,Oilseed crops,44,Permanent oilseed crops,441,Coconuts,,
2,4,Oilseed crops,44,Permanent oilseed crops,442,Olives,,
2,4,Oilseed crops,44,Permanent oilseed crops,443,Oil palms,,
2,4,Oilseed crops,44,Permanent oilseed crops,449,"Other oleaginous fruits, n.e.c.",,
1,5,Root/tuber crops with high starch or inulin content,,Root/tuber crops with high starch or inulin content,,,,
1,5,Root/tuber crops with high starch or inulin content,51,Potatoes,,,,
1,5,Root/tuber crops with high starch or inulin content,52,Sweet potatoes,,,,
1,5,Root/tuber crops with high starch or inulin content,53,Cassava,,,,
1,5,Root/tuber crops with high starch or inulin content,54,Yams,,,,
1,5,Root/tuber crops with high starch or inulin content,59,"Other roots & tubers, n.e.c",,,,
2,6,Beverage and spice crops,61,Beverage crops,611,Coffee,,
2,6,Beverage and spice crops,61,Beverage crops,612,Tea,,
2,6,Beverage and spice crops,61,Beverage crops,613,Maté,,
2,6,Beverage and spice crops,61,Beverage crops,614,Cocoa,,
2,6,Beverage and spice crops,61,Beverage crops,619,"Other beverage crops, n.e.c.",,
1,6,Beverage and spice crops,62,Spice crops,621,Temporary spice crops,6211,Chilies & peppers (capsicum spp.)
1,6,Beverage and spice crops,62,Spice crops,621,Temporary spice crops,6212,"Anise, badian, and fennel"
1,6,Beverage and spice crops,62,Spice crops,621,Temporary spice crops,6219,"Other temporary spice crops, n.e.c"
2,6,Beverage and spice crops,62,Spice crops,622,Permanent spice crops,6221,Pepper (piper spp.)
2,6,Beverage and spice crops,62,Spice crops,622,Permanent spice crops,6222,"Nutmeg, mace, cardamoms"
2,6,Beverage and spice crops,62,Spice crops,622,Permanent spice crops,6223,Cinnamon (canella)
2,6,Beverage and spice crops,62,Spice crops,622,Permanent spice crops,6224,Cloves
2,6,Beverage and spice crops,62,Spice crops,622,Permanent spice crops,6225,Ginger
2,6,Beverage and spice crops,62,Spice crops,622,Permanent spice crops,6226,Vanilla
2,6,Beverage and spice crops,62,Spice crops,622,Permanent spice crops,6229,"Other permanent spice crops, n.e.c"
1,7,Leguminous crops,71,Beans,,,,
1,7,Leguminous crops,72,Broad beans,,,,
1,7,Leguminous crops,73,Chick peas,,,,
1,7,Leguminous crops,74,Cow peas,,,,
1,7,Leguminous crops,75,Lentils,,,,
1,7,Leguminous crops,76,Lupins,,,,
1,7,Leguminous crops,77,Peas,,,,
1,7,Leguminous crops,78,Pigeon peas,,,,
1,7,Leguminous crops,79,"Leguminous crops, n.e.c",,,,
1,8,Sugar crops,81,Sugar beet,,,,
1,8,Sugar crops,82,Sugar cane,,,,
1,8,Sugar crops,83,Sweet sorghum,,,,
1,8,Sugar crops,89,Other sugar crops n.e.c,,,,
1,9,Other crops,91,Grasses and other fodder crops,911,Temporary grass crops,,
2,9,Other crops,91,Grasses and other fodder crops,912,Permanent grass crops,,
1,9,Other crops,92,Fibre crops,921,Temporary fibre crops,9211,Cotton
1,9,Other crops,92,Fibre crops,921,Temporary fibre crops,9212,"Jute, kenaf, and other similar crops"
1,9,Other crops,92,Fibre crops,921,Temporary fibre crops,9213,"Flax, hemp, and other similar products"
1,9,Other crops,92,Fibre crops,921,Temporary fibre crops,9219,Other temporary fibre crops
2,9,Other crops,92,Fibre crops,922,Permanent fibre crops,,
1,9,Other crops,93,"Medicinal, aromatic, pesticidal, or similar crops",931,"Temporary medicinal, etc. crops",,
2,9,Other crops,93,"Medicinal, aromatic, pesticidal, or similar crops",932,"Permanent medicinal, etc. crops",,
2,9,Other crops,94,Rubber,,,,
1,9,Other crops,95,Flower crops,951,Temporary flower crops,,
2,9,Other crops,95,Flower crops,952,Permanent flower crops,,
1,9,Other crops,96,Tobacco,,,,
1,9,Other crops,99,Other crops,991,Other crops - temporary,,
2,9,Other crops,99,Other crops,992,Other crops - permanent,,
